"","country","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Population.growth.rate..average.annual...","Sex.ratio..m.per.100.f..2017.","GDP.per.capita..current.US..","Female Labor Paricipation","Male Labor Participation","Unemployment....of.labour.force.","Food.production.index..2004.2006.100.","International.trade..Balance..million.US..","Urban.population....of.total.population.","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Individuals.using.the.Internet..per.100.inhabitants.","Forested.area....of.land.area.","Energy.supply.per.capita..Gigajoules."
"40","Liberia","WesternAfrica",111369,4732,49.1,2.6,101.8,455.9,57.9,64.1,4.1,121,-86,49.7,4.8,"61.6/59.8",59,10,NA,2.8,"9.0/14.2",12.3,81.1,172,"0.9/0.2","88.6/62.6"
"41","Madagascar","EasternAfrica",587295,25571,44,2.7,99.5,401.8,83.8,89,2.3,120,-709,35.1,4.4,"66.0/63.0",36.8,3,0.1,2.1,"4.6/5.0",19.2,46,1324,"3.1/0.1","81.6/35.3"
"42","Malawi","EasternAfrica",118484,18622,197.5,2.9,98.2,372.9,81.3,81,6.8,150,-774,16.3,4.9,"63.1/58.2",66.5,11.4,NA,5.6,"0.6/1.0",16.7,35.3,176,"1.3/0.1","95.7/89.1"
"43","Mali","WesternAfrica",1240192,18542,15.2,2.9,100.2,744.3,50.5,82.3,8.1,157,520,39.9,6.4,"56.9/55.6",78.5,7,NA,3.7,"4.1/9.6",8.8,139.6,42,"1.4/0.1","96.5/64.1"
"44","Mauritania","WesternAfrica",1030700,4420,4.3,2.9,101.6,1235,29.3,65.5,12,125,-551,59.9,4.9,"64.1/61.2",68,3.8,NA,2.9,"3.6/7.1",25.2,89.3,86,"2.7/0.7","58.4/57.1"
"45","Mexico","CentralAmerica",1964375,129163,66.4,1.4,99.2,8980.9,45.5,79.5,4.1,120,-13181,79.2,2.3,"78.9/74.0",18.8,6.3,2.1,5.3,"30.0/29.9",42.6,85.3,1162,"480.3/3.8","97.2/92.1"
"46","Moldova","EasternEurope",33846,4051,123.3,-0.1,92.2,1591.4,39.1,46.5,5,109,-1975,45,1.3,"75.2/66.7",14.3,10.3,2.5,7.5,"47.4/35.3",22.8,108,35,"4.9/1.2","96.9/81.4"
"47","Mongolia","EasternAsia",1564116,3076,2,1.9,97.9,3973.4,56.8,69.3,6.3,149,1559,72,2.8,"72.7/64.5",22.8,4.7,2.9,4.6,"79.7/57.7",17.1,105,41,"20.8/7.2","66.4/59.2"
"48","Mozambique","EasternAfrica",799380,29669,37.7,2.9,95.5,529.2,82.2,75.6,24.1,137,-1943,32.2,5.4,"58.1/54.0",67.3,7,0.1,6.5,"5.4/7.4",39.6,74.2,309,"8.4/0.3","80.6/37.0"
"49","Myanmar (Burma)","South-easternAsia",676577,53371,81.7,0.9,95.5,1161.5,74.7,80.8,0.8,128,-4023,34.1,2.3,"68.3/63.7",45,2.3,0.6,NA,"14.9/12.1",10.2,76.7,321,"21.6/0.4","92.7/74.4"
"50","Namibia","SouthernAfrica",824116,2534,3.1,2.2,94.7,4673.6,56.4,64.3,24.9,89,-1905,46.7,3.6,"64.3/59.1",36.4,NA,NA,NA,".../...",41.3,102.1,115,"3.8/1.6","98.2/84.6"
"51","Nepal","SouthernAsia",147181,29305,204.4,1.2,94.3,724.5,79.7,86.7,3,139,-4547,18.6,2.3,"70.4/67.4",32.8,5.8,NA,3.7,"15.1/14.8",29.6,96.8,104,"8.0/0.3","90.9/91.8"
"52","Nicaragua","CentralAmerica",130373,6218,51.7,1.2,97.2,2086.9,49.6,80.6,6.1,130,-3701,58.8,2.3,"77.5/71.4",20,9,0.9,NA,".../...",45.7,116.1,144,"4.9/0.8","99.3/69.4"
"53","Nigeria","WesternAfrica",923768,190886,209.6,2.7,102.7,2714.5,48.5,64.3,5.4,117,67551,47.8,5.7,"52.6/51.2",76.3,3.7,NA,NA,"8.3/11.8",5.6,82.2,361,"96.3/0.6","80.8/57.3"
"54","Pakistan","SouthernAsia",796095,197016,255.6,2.1,105.6,1410.4,24.8,82.5,5.9,138,-26464,38.8,3.7,"66.8/65.0",69.8,2.6,0.8,2.6,"9.2/10.6",20.6,66.9,140,"166.3/0.9","93.9/89.9"
"55","Palestine","WesternAsia",6020,4921,817.4,2.7,102.9,2715.5,18.4,69.7,24.2,90,-4128,75.3,4.2,"74.8/71.1",20,NA,NA,1.3,"54.4/34.5",NA,77.6,31,"2.8/0.6","50.7/81.5"
"56","Panama","CentralAmerica",75320,4099,55.1,1.7,100.4,13268.1,50.5,80.4,6.2,118,-11061,66.6,2.6,"80.5/74.3",15.2,8,1.6,3.2,"46.5/31.2",18.3,174.2,383,"8.8/2.3","97.7/88.6"
"57","Paraguay","SouthAmerica",406752,6811,17.1,1.3,102.9,4174.4,58.3,84.7,5.5,166,-1259,59.7,2.6,"74.9/70.7",28.8,9.8,1.3,5,".../...",13.8,105.4,59,"5.7/0.9","100.0/94.9"
"58","Peru","SouthAmerica",1285216,32166,25.1,1.3,99.8,6069.1,66.1,82.8,5.3,148,-145,78.6,2.5,"76.8/71.5",18.6,5.5,1.1,4,".../...",27.7,109.9,685,"61.7/2.0","91.4/69.2"
"59","Philippines","South-easternAsia",300000,104918,351.9,1.6,101.3,2904.2,50.8,78.9,5.9,120,-29596,44.4,3,"72.1/65.4",22.2,4.7,NA,NA,"40.3/31.4",29.5,118.1,783,"105.7/1.1","93.7/90.3"
"60","Puerto Rico","Caribbean",8868,3663,413,-0.2,92.6,27939,34.4,51.7,12.8,111,NA,93.6,1.5,"83.2/75.2",6.3,NA,NA,6.4,"98.8/70.1",NA,87.1,126,NA,".../..."
